study_title,year,population,sample_size,sepsis_type,biomarker,outcome,main_finding,statistical_method,odds_ratio,auc,p_value,source_quote,chunk_id,quote_found_in_source,schema_valid
Cureus 14(1): e21055,2022,Pediatric Intensive Care Unit patients,286,not reported,PRISM III 24 score,30-day mortality,"At the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, PPV was 76.47%, NPV was 56.89%, and accuracy was 65.03%.",Chi-square test,not reported,not reported,0.001,"Whereas at the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, PPV was 76.47%, NPV was 56.89% and accuracy was 65.03%.",chunk_6,False,True
Validation of PRISM III 24 and p-SOFA scores in predicting 30-day death,not reported,critically ill children admitted to the PICU,286,not reported,not reported,30-day death,"The 30-day death rate was predicted to be 57% in the current study, with the median age of non-survivors being 24 months.",not reported,not reported,not reported,not reported,"Therefore, in this study, we evaluated the validity of the PRISM III 24 score and the p- SOFA score for predicting 30-day death in 286 critically ill children admitted to the PICU at a tertiary care hospital in Karachi. The 30-day death rate was predicted to be 57% in the current study, with the median age of non-survivors being 24 months.",chunk_7,True,True
Kumbar et al.,not reported,PICU children,75,not reported,not reported,death,"37.3% of the children died; older children had a greater death rate, whereas younger children had a higher survival rate.",not reported,not reported,not reported,0.513,"They did not, however, find a statistically significant association between age and death (p=0.513) [18].",chunk_8,True,True
current study,not reported,not reported,not reported,not reported,"p-SOFA, PRISM III 24",30-day mortality,p-SOFA and PRISM III 24 scores at the time of admission to the PICU were found to be good predictors of death within 30 days.,ROC curve analysis,not reported,"0.81 for p-SOFA, 0.75 for PRISM III",not reported,"The probability of mortality increased in a stepwise way from smaller to larger p-SOFA and PRISM III 24 scores across patient sub-categories, with survivors having a significantly lower median p-SOFA and PRISM III 24 scores than non-survivors.",chunk_8,True,True
El-Mashad et al.,not reported,PICU children,not reported,not reported,p-SOFA,30-day mortality,AUC of 0.89 for the prediction of 30-day death.,not reported,not reported,0.89,not reported,"This finding is comparable to that of El-Mashad et al., who reported a good AUC of 0.89 for the prediction of 30-day death in PICU children using the p-SOFA score [2].",chunk_8,True,True
Matics et al.,not reported,PICU infants,not reported,not reported,SOFA score,30-day mortality,AUC of 0.88 for the prediction of 30-day death.,not reported,not reported,0.88,not reported,"Similarly, Matics et al. discovered a good AUC of 0.88 for the prediction of 30-day death in PICU infants using SOFA score in their investigation [14].",chunk_8,True,True
Zhou et al.,not reported,PICU children with severe illness,not reported,not reported,p-SOFA,prognosis,p-SOFA had higher predictive accuracy for the prognosis of PICU children with severe illness than PRISM III.,not reported,not reported,not reported,not reported,Another study by Zhou et al. also found that p-SOFA had higher predictive accuracy for the prognosis of PICU children with severe illness than PRISM III [22].,chunk_8,True,True
Lalitha et al.,not reported,not reported,not reported,not reported,"p-SOFA, PRISM III",mortality,p-SOFA had good accuracy (AUC=0.84) as compared to PRISM III (AUC=0.70) for the prediction of mortality.,not reported,not reported,"0.84 for p-SOFA, 0.70 for PRISM III",not reported,Lalitha et al. also found that p-SOFA had good accuracy (AUC=0.84) as compared to PRISM III (AUC=0.70) for the prediction of mortality [23].,chunk_8,True,True
El-Mashad et al.,not reported,PICU children,not reported,not reported,"p-SOFA, PRISM III",30-day mortality,p-SOFA was a better predictor of 30-day death among critically ill children than PRISM III.,not reported,not reported,not reported,not reported,p-SOFA was a better predictor of 30-day death among critically ill children than PRISM III in our study.,chunk_9,False,True
El-Mashad et al.,not reported,PICU patients,not reported,not reported,SOFA score,death,A SOFA score of more than 2 predicted death in 40% of PICU patients with 100% sensitivity and 5.2% specificity.,not reported,not reported,not reported,not reported,"they found p-SOFA score (cut-off >6.5) had sensitivity as 80.9% and specificity as 81.8%, whereas PRISM score (cut-off >17.2) had sensitivity as 70.6% and specificity as 82.3%",chunk_9,False,True
Comparison of PRISM III and p-SOFA in predicting mortality in critically ill children,not reported,critically ill children,small,not reported,not reported,30-day mortality,the p-SOFA score is a good predictor for 30-day mortality in critically ill children with better accuracy than the PRISM III 24 score,not reported,not reported,not reported,not reported,we compared the diagnostic accuracy of the Pediatric Risk of Mortality (PRISM) III score and Pediatric Sequential Organ Failure Assessment (p-SOFA) for the prediction of mortality in critically ill children and showed that the p-SOFA score is a good predictor for 30-day mortality in critically ill children with better accuracy than the PRISM III 24 score.,chunk_10,True,True
Validity of PRISM score in predicting mortality in a tertiary care hospital in North India,2018,not reported,not reported,not reported,PRISM score,mortality,not reported,not reported,not reported,not reported,not reported,"Hassan ZE, Quyoom I, Mushtaq I: Validity of PRISM score in predicting mortality in a tertiary care hospital in North India.",chunk_12,True,True
Use of a mortality prediction model in children on mechanical ventilation: a 5-year experience in a tertiary university hospital,2020,children on mechanical ventilation,not reported,not reported,not reported,mortality,not reported,not reported,not reported,not reported,not reported,"Albuali WH, Algamdi AA, Hasan EA, et al.: Use of a mortality prediction model in children on mechanical ventilation: a 5-year experience in a tertiary university hospital.",chunk_12,True,True
Prediction of mortality by application of PRISM score in the intensive care unit,2001,not reported,not reported,not reported,PRISM score,mortality,not reported,not reported,not reported,not reported,not reported,"Singhal D, Kumar N, Puliyel JM, et al.: Prediction of mortality by application of PRISM score in the intensive care unit.",chunk_12,True,True
Application of the pediatric risk of mortality (PRISM) score and determination of mortality risk factors in a tertiary pediatric intensive care unit,2010,pediatric intensive care unit,not reported,not reported,PRISM score,mortality risk factors,not reported,not reported,not reported,not reported,not reported,"Costa GA, Delgado AF, Ferraro A, Okay TS: Application of the pediatric risk of mortality (PRISM) score and determination of mortality risk factors in a tertiary pediatric intensive care unit.",chunk_12,True,True
Evaluation of the validity of the paediatric sequential organ failure assessment score in critically ill children,2020,critically ill children,not reported,not reported,paediatric sequential organ failure assessment score,validity,not reported,not reported,not reported,not reported,not reported,"Ward AE, Davis TW: Evaluation of the validity of the paediatric sequential organ failure assessment score in critically ill children.",chunk_12,True,True
Adaptation and validation of a paediatric sequential organ failure assessment score and evaluation of the sepsis-3 definitions in critically ill children,2017,critically ill children,not reported,not reported,paediatric sequential organ failure assessment score,mortality prediction,not reported,not reported,not reported,not reported,not reported,"Matics TJ, Sanchez-Pinto LN: Adaptation and validation of a paediatric sequential organ failure assessment score and evaluation of the sepsis-3 definitions in critically ill children.",chunk_12,True,True
Mortality risk prediction by application of pediatric risk of mortality scoring system in the pediatric intensive care unit,2013,pediatric intensive care unit,not reported,not reported,pediatric risk of mortality scoring system,mortality risk prediction,not reported,not reported,not reported,not reported,not reported,"Khajeh A, Noori NM, Reisi M, Fayyazi A, Mohammadi M, Miri-Aliabad G: Mortality risk prediction by application of pediatric risk of mortality scoring system in the pediatric intensive care unit.",chunk_12,True,True
Illness severity and organ dysfunction scoring in pediatric intensive care unit,2016,pediatric intensive care unit,not reported,not reported,not reported,illness severity and organ dysfunction,not reported,not reported,not reported,not reported,not reported,"Gulla KM, Sachdev A: Illness severity and organ dysfunction scoring in pediatric intensive care unit.",chunk_12,False,True
